#! confdata 2
#
# conference schedule table example data (version 2)
#
#-----
# conference items
# COMMAND  conference-name conference-date         dead-line       notification
#
CONFITEM   SIGGASIA        2010/12/15-2010/12/18   2010/05/11      2010/10/01
CONFITEM   HPG2010         2010/06/25-2010/06/27   2010/04/09      <unknown>
CONFITEM   EGSR2010        2010/06/28-2010/06/28   2010/04/10      2010/05/01
CONFITEM   SGP2010         2010/07/05-2010/07/07   2010/04/22      2010/05/26
CONFITEM   LONGCONFNAME2010 2010/07/10-2010/07/15  2010/05/01      2010/05/30
#-----
# date line items
# COMMAND  date            label
#
DATELINE   2010/07/17      Today
